StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,porlific,prior_AI_1,prior_minimum_1,prior_renewables_1,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,headlineSet,headlineOrder,headlineResponses,completed
2025-03-24 15:13:37,2025-03-24 15:15:04,IP Address,92.112.55.158,100,87,True,2025-03-24 15:15:05,R_1j4p7vChXBKVdjb,,,,,34.0544,-118.244,anonymous,EN,I consent to participate in this study,67ddfe4e49c053cf9b1327df,9,10,10,16.582,17.172,18.976,2,3.577,24.527,24.853,9,minimum-pro,"[""After 25 years of stagnation, it’s time to raise the minimum wage"",""The federal minimum wage is poverty pay, raise it"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Minimum wage rise gives boost to 2.7 million lowest-paid""]","{""After 25 years of stagnation, it’s time to raise the minimum wage"":""93"",""The federal minimum wage is poverty pay, raise it"":""81"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""92"",""Minimum wage rise gives boost to 2.7 million lowest-paid"":""95""}",true
2025-03-24 15:12:36,2025-03-24 15:15:08,IP Address,38.45.96.21,100,151,True,2025-03-24 15:15:08,R_62JfGZjbRhReOcN,,,,,38.8868,-94.8223,anonymous,EN,I consent to participate in this study,66423a245a3dae24f8522e78,8,8,6,24.836,30.501,31.703,5,9.101,22.114,22.438,8,ai-pro,"[""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""AI’s huge potential to improve healthcare"",""Dangers of artificial intelligence in medicine"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit""]","{""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""100"",""AI’s huge potential to improve healthcare"":""64"",""Dangers of artificial intelligence in medicine"":""80"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""69""}",true
2025-03-24 15:12:55,2025-03-24 15:15:35,IP Address,62.72.190.208,100,160,True,2025-03-24 15:15:36,R_3VcAiODOnpeDRPr,,,,,34.2555,-78.0075,anonymous,EN,I consent to participate in this study,67e0577f4be659ef3f567d1d,8,3,10,0,0,24.365,0,10.486,41.142,41.477,9,minimum-contra,"[""Higher minimum wages may increase homelessness"",""Unintended consequences of minimum wage mandates"",""The federal minimum wage is poverty pay, raise it"",""Raising the Minimum Wage Will Definitely Cost Jobs""]","{""Higher minimum wages may increase homelessness"":""36"",""Unintended consequences of minimum wage mandates"":""59"",""The federal minimum wage is poverty pay, raise it"":""35"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""35""}",true
2025-03-24 15:12:22,2025-03-24 15:15:48,IP Address,84.55.16.203,100,206,True,2025-03-24 15:15:49,R_18UGuJobysyM0dr,,,,,47.1771,-122.1865,anonymous,EN,I consent to participate in this study,67e0574525dbb9530301e96e,9,7,9,35.007,35.007,36.573,1,9.11,58.078,58.389,14,minimum-contra,"[""Higher minimum wages may increase homelessness"",""Unintended consequences of minimum wage mandates"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""The federal minimum wage is poverty pay, raise it""]","{""Higher minimum wages may increase homelessness"":""86"",""Unintended consequences of minimum wage mandates"":""88"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""100"",""The federal minimum wage is poverty pay, raise it"":""100""}",true
2025-03-24 15:14:24,2025-03-24 15:15:49,IP Address,50.77.190.197,100,85,True,2025-03-24 15:15:50,R_3MTXQTtHgC9aVYB,,,,,41.9898,-87.7623,anonymous,EN,I consent to participate in this study,5dd3205a523df033442e19da,7,7,8,20.214,20.214,20.538,1,2.649,9.301,9.717,8,minimum-pro,"[""The federal minimum wage is poverty pay, raise it"",""After 25 years of stagnation, it’s time to raise the minimum wage"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Minimum wage rise gives boost to 2.7 million lowest-paid""]","{""The federal minimum wage is poverty pay, raise it"":""55"",""After 25 years of stagnation, it’s time to raise the minimum wage"":""67"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""43"",""Minimum wage rise gives boost to 2.7 million lowest-paid"":""56""}",true
2025-03-24 15:13:20,2025-03-24 15:15:56,IP Address,89.46.181.194,100,155,True,2025-03-24 15:15:57,R_36WHhZBQmaP134B,,,,,34.9458,-81.9334,anonymous,EN,I consent to participate in this study,67e09140d3b97fa530c719c3,8,8,8,0,0,23.663,0,10.336,43.237,43.558,15,minimum-pro,"[""Minimum wage rise gives boost to 2.7 million lowest-paid"",""After 25 years of stagnation, it’s time to raise the minimum wage"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""The federal minimum wage is poverty pay, raise it""]","{""Minimum wage rise gives boost to 2.7 million lowest-paid"":""67"",""After 25 years of stagnation, it’s time to raise the minimum wage"":""61"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""58"",""The federal minimum wage is poverty pay, raise it"":""61""}",true
2025-03-24 15:14:58,2025-03-24 15:16:19,IP Address,136.32.19.172,100,81,True,2025-03-24 15:16:19,R_6x5LK8dYfWV7M41,,,,,38.9949,-94.3652,anonymous,EN,I consent to participate in this study,60b918118f03bbd740bdba3d,3,10,9,0,0,26.789,0,3.789,11.835,12.146,9,minimum-pro,"[""The federal minimum wage is poverty pay, raise it"",""After 25 years of stagnation, it’s time to raise the minimum wage"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Minimum wage rise gives boost to 2.7 million lowest-paid""]","{""The federal minimum wage is poverty pay, raise it"":""69"",""After 25 years of stagnation, it’s time to raise the minimum wage"":""73"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""67"",""Minimum wage rise gives boost to 2.7 million lowest-paid"":""70""}",true
2025-03-24 15:13:21,2025-03-24 15:16:41,IP Address,104.164.35.82,100,199,True,2025-03-24 15:16:41,R_1PHWT2TBW6S9Lhm,,,,,40.7126,-74.0066,anonymous,EN,I consent to participate in this study,67dee819449ab6b0f646c557,8,8,9,6.578,6.578,19.125,1,3.737,11.672,12.002,8,minimum-contra,"[""The federal minimum wage is poverty pay, raise it"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Unintended consequences of minimum wage mandates"",""Higher minimum wages may increase homelessness""]","{""The federal minimum wage is poverty pay, raise it"":""68"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""37"",""Unintended consequences of minimum wage mandates"":""78"",""Higher minimum wages may increase homelessness"":""89""}",true
2025-03-24 15:15:34,2025-03-24 15:17:08,IP Address,32.221.190.94,100,94,True,2025-03-24 15:17:09,R_6k0TdoK6Wa37pN0,,,,,41.7621,-72.7266,anonymous,EN,I consent to participate in this study,6629702ea9d1d8e3ceaaabf8,9,8,7,7.624,7.624,19.828,1,7.443,20.993,21.201,8,renewables-pro,"[""New Financial Analysis Finds Significant Economic Benefits from Clean Energy Transition"",""Study shows renewables raise food prices"",""Green energy is cheaper than fossil fuels, a new study finds"",""Clean energy drives job growth in US energy sector""]","{""New Financial Analysis Finds Significant Economic Benefits from Clean Energy Transition"":""32"",""Study shows renewables raise food prices"":""100"",""Green energy is cheaper than fossil fuels, a new study finds"":""10"",""Clean energy drives job growth in US energy sector"":""54""}",true
2025-03-24 15:15:03,2025-03-24 15:17:35,IP Address,89.42.82.215,100,151,True,2025-03-24 15:17:35,R_5fvRpuCGmml4KTB,,,,,34.7784,-96.6752,anonymous,EN,I consent to participate in this study,67e0958673623682e41b755d,10,10,10,6.261,27.484,28.523,3,4.096,35.456,35.781,11,ai-pro,"[""AI’s huge potential to improve healthcare"",""Dangers of artificial intelligence in medicine"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit""]","{""AI’s huge potential to improve healthcare"":""100"",""Dangers of artificial intelligence in medicine"":""100"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""100"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""100""}",true
2025-03-24 15:14:55,2025-03-24 15:17:37,IP Address,185.145.52.196,100,162,True,2025-03-24 15:17:37,R_3QaBDihinWWIngH,,,,,40.7126,-74.0066,anonymous,EN,I consent to participate in this study,67dee270df931d62b25a549a,8,8,10,2.354,2.354,20.976,1,6.148,47.936,48.272,13,ai-contra,"[""AI’s huge potential to improve healthcare"",""Dangers of artificial intelligence in medicine"",""Warnings of a Dark Side to A.I. in Health Care"",""AI models fall short in medical coding accuracy""]","{""AI’s huge potential to improve healthcare"":""96"",""Dangers of artificial intelligence in medicine"":""96"",""Warnings of a Dark Side to A.I. in Health Care"":""100"",""AI models fall short in medical coding accuracy"":""100""}",true
2025-03-24 15:11:42,2025-03-24 15:18:01,IP Address,45.45.208.91,100,378,True,2025-03-24 15:18:01,R_3ekpUBwlbvio9Jj,,,,,40.7126,-74.0066,anonymous,EN,I consent to participate in this study,67e1494c408fe70d99affad4,6,7,4,0,0,32.032,0,9.808,27.852,28.167,11,minimum-pro,"[""Minimum wage rise gives boost to 2.7 million lowest-paid"",""The federal minimum wage is poverty pay, raise it"",""After 25 years of stagnation, it’s time to raise the minimum wage"",""Raising the Minimum Wage Will Definitely Cost Jobs""]","{""Minimum wage rise gives boost to 2.7 million lowest-paid"":""69"",""The federal minimum wage is poverty pay, raise it"":""31"",""After 25 years of stagnation, it’s time to raise the minimum wage"":""62"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""62""}",true
2025-03-24 15:14:25,2025-03-24 15:18:13,IP Address,139.171.35.17,100,227,True,2025-03-24 15:18:13,R_311bvVg6KnLPBCJ,,,,,37.751,-97.822,anonymous,EN,I consent to participate in this study,67e088711ff41e4964501a69,7,8,6,0,0,24.399,0,19.793,59.678,59.904,12,minimum-contra,"[""The federal minimum wage is poverty pay, raise it"",""Unintended consequences of minimum wage mandates"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Higher minimum wages may increase homelessness""]","{""The federal minimum wage is poverty pay, raise it"":""67"",""Unintended consequences of minimum wage mandates"":""58"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""70"",""Higher minimum wages may increase homelessness"":""74""}",true
2025-03-24 15:15:02,2025-03-24 15:18:14,IP Address,148.76.112.108,100,191,True,2025-03-24 15:18:14,R_3srHANbfwU06XdL,,,,,40.7047,-73.5933,anonymous,EN,I consent to participate in this study,62ed7b80e4fc9daa9772da8e,8,7,9,3.996,24.864,25.631,10,2.006,23.441,23.765,18,minimum-contra,"[""Unintended consequences of minimum wage mandates"",""The federal minimum wage is poverty pay, raise it"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Higher minimum wages may increase homelessness""]","{""Unintended consequences of minimum wage mandates"":""76"",""The federal minimum wage is poverty pay, raise it"":""16"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""59"",""Higher minimum wages may increase homelessness"":""66""}",true
2025-03-24 15:17:31,2025-03-24 15:18:32,IP Address,98.149.6.8,100,61,True,2025-03-24 15:18:32,R_5QoWhFOf0L80gUL,,,,,33.7518,-117.9932,anonymous,EN,I consent to participate in this study,6314bc49055e150c92f4736e,8,8,5,1.525,18.362,19.577,14,1.841,11.586,11.899,12,ai-pro,"[""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""AI’s huge potential to improve healthcare"",""Dangers of artificial intelligence in medicine""]","{""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""76"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""66"",""AI’s huge potential to improve healthcare"":""73"",""Dangers of artificial intelligence in medicine"":""73""}",true
2025-03-24 15:17:20,2025-03-24 15:18:39,IP Address,76.100.12.141,100,79,True,2025-03-24 15:18:39,R_1JElqkFBI5HsQW5,,,,,39.3407,-76.6753,anonymous,EN,I consent to participate in this study,66e08b10e56328c32503cdac,10,3,7,0,0,26.961,0,4.501,17.361,17.69,9,renewables-pro,"[""Green energy is cheaper than fossil fuels, a new study finds"",""New Financial Analysis Finds Significant Economic Benefits from Clean Energy Transition"",""Study shows renewables raise food prices"",""Clean energy drives job growth in US energy sector""]","{""Green energy is cheaper than fossil fuels, a new study finds"":""76"",""New Financial Analysis Finds Significant Economic Benefits from Clean Energy Transition"":""100"",""Study shows renewables raise food prices"":""26"",""Clean energy drives job growth in US energy sector"":""85""}",true
2025-03-24 15:16:59,2025-03-24 15:18:40,IP Address,107.198.76.38,100,101,True,2025-03-24 15:18:41,R_6EaqnyUQp5jrx3H,,,,,36.8633,-87.4848,anonymous,EN,I consent to participate in this study,6740cfca45438455cd384043,6,5,6,1.184,11.765,21.75,6,19.463,48.615,48.938,32,ai-pro,"[""Dangers of artificial intelligence in medicine"",""AI’s huge potential to improve healthcare"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit""]","{""Dangers of artificial intelligence in medicine"":""48"",""AI’s huge potential to improve healthcare"":""42"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""45"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""43""}",true
2025-03-24 15:15:27,2025-03-24 15:19:17,IP Address,168.235.145.47,100,229,True,2025-03-24 15:19:18,R_7EAIW1bJVe7GaJi,,,,,33.9558,-118.3893,anonymous,EN,I consent to participate in this study,67e09dc99cb1569d068b3d97,7,8,7,1.81,14.277,18.252,4,7.919,34.629,34.95,10,ai-pro,"[""Dangers of artificial intelligence in medicine"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"",""AI’s huge potential to improve healthcare""]","{""Dangers of artificial intelligence in medicine"":""85"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""78"",""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""76"",""AI’s huge potential to improve healthcare"":""57""}",true
2025-03-24 15:15:32,2025-03-24 15:19:40,IP Address,160.84.48.64,100,247,True,2025-03-24 15:19:40,R_7ziOSmW3elGKzRs,,,,,40.7126,-74.0066,anonymous,EN,I consent to participate in this study,67df02a3aec89bfdbf26aa93,8,7,9,6.252,23.604,35.502,2,9.37,36.382,36.713,9,ai-contra,"[""Dangers of artificial intelligence in medicine"",""AI’s huge potential to improve healthcare"",""Warnings of a Dark Side to A.I. in Health Care"",""AI models fall short in medical coding accuracy""]","{""Dangers of artificial intelligence in medicine"":""69"",""AI’s huge potential to improve healthcare"":""94"",""Warnings of a Dark Side to A.I. in Health Care"":""58"",""AI models fall short in medical coding accuracy"":""88""}",true
2025-03-24 15:16:34,2025-03-24 15:20:30,IP Address,45.45.208.170,100,235,True,2025-03-24 15:20:30,R_3jlFHhBu5QDQNpw,,,,,40.7126,-74.0066,anonymous,EN,I consent to participate in this study,67df453b924dec242ee417f2,9,7,8,17.148,17.148,33.726,1,13.689,69.135,69.46,10,ai-contra,"[""AI’s huge potential to improve healthcare"",""Warnings of a Dark Side to A.I. in Health Care"",""AI models fall short in medical coding accuracy"",""Dangers of artificial intelligence in medicine""]","{""AI’s huge potential to improve healthcare"":""76"",""Warnings of a Dark Side to A.I. in Health Care"":""71"",""AI models fall short in medical coding accuracy"":""74"",""Dangers of artificial intelligence in medicine"":""100""}",true
2025-03-24 15:21:37,2025-03-24 15:22:45,IP Address,73.185.110.87,100,68,True,2025-03-24 15:22:45,R_36aLLMou7n5zMlo,,,,,38.6711,-121.1495,anonymous,EN,I consent to participate in this study,667acfd4952c09a9cb92de96,4,7,10,0,0,20.313,0,4.62,14.249,14.558,8,ai-pro,"[""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"",""AI’s huge potential to improve healthcare"",""Dangers of artificial intelligence in medicine""]","{""How AI is set to transform our health: Drug research, vaccines, disability support and more set to benefit"":""35"",""Less burnout for doctors, better clinical trials, among the benefits of AI in healthcare"":""7"",""AI’s huge potential to improve healthcare"":""56"",""Dangers of artificial intelligence in medicine"":""67""}",true
2025-03-24 15:21:28,2025-03-24 15:22:47,IP Address,172.251.53.223,100,79,True,2025-03-24 15:22:47,R_3pY0jZ9rMSkREst,,,,,34.2666,-118.7643,anonymous,EN,I consent to participate in this study,5d4614be4574f300153a6311,3,10,10,0,0,22.778,0,6.473,16.323,16.632,8,minimum-contra,"[""The federal minimum wage is poverty pay, raise it"",""Raising the Minimum Wage Will Definitely Cost Jobs"",""Higher minimum wages may increase homelessness"",""Unintended consequences of minimum wage mandates""]","{""The federal minimum wage is poverty pay, raise it"":""36"",""Raising the Minimum Wage Will Definitely Cost Jobs"":""54"",""Higher minimum wages may increase homelessness"":""57"",""Unintended consequences of minimum wage mandates"":""64""}",true
